,job_description_id,resume_id,experience,education,language,title_score,description_score,yoe_score,overall_score,cosine_score_matching_skill,label
1,4288,4288,0.6984896916381614,0,0,0.5661241503617372,0.8308552329145856,,0.48396723077532594,0.6368290412881568,1
2,4385,4385,0.9054691130827359,0,1.0,1.0000000000000002,0.8109382261654716,,0.8987028232191078,0.4520847584004043,1
3,4515,4515,0.808731322644013,0,0,0.6962875893894176,0.9211750558986085,,0.6920992648286357,0.29279759585806314,1
4,5184,5184,0.20928860295149548,0,0,0.20928860295149548,,,0.35504732079613294,0.5234931106086104,1
5,4334,4334,0.6691630720866492,0,0,0.6691630720866492,,,0.7408877287200192,0.6772927783131604,1
6,4993,4993,0.7410594447263044,0,0,0.7410594447263044,,,0.8746525986124355,0.8360640879951227,1
7,4287,4287,0.8073221365525096,0,0,0.8073221365525096,,,0.8724432405166446,0.6881832408122635,1
8,4448,4448,0.5693920745448188,0,0,0.5693920745448188,,,0.8023815415328436,0.31714222450182794,1
9,4329,4329,0.6542570956258088,0,0,0.5678046275382381,0.7407095637133795,,0.6949327314345373,0.4478900176729341,1
10,4289,4289,0.4718567758753055,0,0,0.4718567758753055,,,0.4174099409300071,0.3668923196307789,1
11,4595,4595,0.5655805555790258,0,0,0.5655805555790258,,,0.6954577855063364,0.5767690738115838,1
12,4327,4327,0.7475951312588713,0,0,0.7475951312588713,,,0.7217506242597197,0.6777882299596758,1
13,4382,4382,0.8107720105604683,0,0,0.8107720105604683,,,0.8926183342933655,0.3059426378687083,1
14,4333,4333,0.8324118873657327,0,0,0.8253812526838614,0.8394425220476041,,0.8724098063648874,0.43137846850476586,1
15,4292,4292,0.47723149481884153,0,0,0.47723149481884153,,,0.5291492320846766,0.40787334727217783,1
16,4336,4336,0.47317202901172895,0,0,0.47317202901172895,,,0.4307484099073368,0.46305977283969907,1
17,4380,4380,0.8659593991621295,0,0,0.8659593991621295,,,0.9176823774846513,0.3380449204159276,1
18,5248,5248,0.7236432910960461,0,0,0.7236432910960461,,,0.7010214854185353,0.5748070269274315,1
19,4520,4520,0.7847067898140916,0,0,0.7847067898140916,,,0.8313472524876058,0.43834444061992056,1
20,4291,4291,0.39205916865847984,0,0,0.39205916865847984,,,0.4035455977957109,0.1035683452302759,1
21,4447,4447,0.2752578574681509,0,0,0.2752578574681509,,,0.7424938130967097,1.0,1
